DeathStateFileNumber,dDateOfDeath,cDecedentFirstName,cDecedentLastName,cDecedentMaidenLastName,DOB,SSN,BirthStateFileNumber,cMothersSSN,BirthChildDateOfBirth,BirthMatchType,ICDCode1,ICDCode2,cCauseOfDeathA,cCauseOfDeathB,SignificantConditions,Race,County
2025GA000747,01/28/2025,Elizabeth,Moore,Johnson,1966-02-20,368-84-4646,B2025GA007797,368-84-4646,01/28/2025,B,,,,,,Black,Henry
2025GA000588,01/30/2025,Robert,Anderson,Anderson,1939-02-15,275-51-7731,,,," ",O96,,,Cancer,,White,Gordon
2025GA000646,01/30/2025,Jennifer,Miller,Anderson,1966-10-21,270-19-1677,B2025GA007696,270-19-1677,01/30/2025,B,,,,,,White,Madison
2025GA000748,02/04/2025,Elizabeth,Wilson,Moore,1987-01-26,398-92-5381,B2025GA007798,398-92-5381,02/04/2025,B,,,,,,White,Gwinnett
2025GA000708,02/05/2025,Jessica,Anderson,Anderson,1972-07-26,676-71-7364,B2025GA007758,676-71-7364,02/05/2025,B,,,,,,Black,Chatham
2025GA000711,02/06/2025,Jessica,Wilson,Taylor,1994-03-14,838-22-3167,B2025GA007761,838-22-3167,02/06/2025,B,,,,,,White,Fulton
2025GA000581,02/06/2025,John,Jones,Jones,1977-02-04,305-52-4221,,,," ",I21,,abruptio,,,Asian,Fulton
2025GA000689,02/10/2025,Jennifer,Wilson,Smith,1956-07-25,136-84-8797,B2025GA007739,136-84-8797,02/10/2025,B,,,,,,Other,Fulton
2025GA000647,02/13/2025,Mary,Brown,Miller,1998-03-12,284-61-5311,B2025GA007697,284-61-5311,02/13/2025,B,,,,,,White,Dougherty
2025GA000624,02/16/2025,Amanda,Johnson,Thomas,1989-01-08,854-99-9741,FGA2025004539,854-99-9741,01/16/2025,F,,,,,,Black,Cobb
2025GA000697,03/02/2025,Linda,Williams,Anderson,1981-08-04,713-79-5302,B2025GA007747,713-79-5302,03/02/2025,B,,,,,,White,Cobb
2025GA000717,03/05/2025,Elizabeth,Smith,Jones,1948-12-09,257-55-3436,B2025GA007767,257-55-3436,03/05/2025,B,,,,,,Black,Fayette
2025GA000738,03/07/2025,Mary,Davis,Brown,1940-11-17,374-12-7236,B2025GA007788,374-12-7236,03/07/2025,B,,,,,,Black,Gwinnett
2025GA000766,03/09/2025,Elizabeth,Williams,Smith,1987-02-24,453-91-2684,B2025GA007816,453-91-2684,03/09/2025,B,,,,,,White,Gwinnett
2025GA000723,03/14/2025,Jessica,Wilson,Davis,1945-08-12,710-93-5415,B2025GA007773,710-93-5415,03/14/2025,B,,,,,,Black,Richmond
2025GA000663,03/17/2025,Patricia,Smith,Moore,1985-02-27,759-38-3178,B2025GA007713,759-38-3178,03/17/2025,B,,,,,,Asian,Glynn
2025GA000715,03/18/2025,Jennifer,Davis,Miller,1972-01-10,865-18-9033,B2025GA007765,865-18-9033,03/18/2025,B,,,,,,Black,DeKalb
2025GA000653,03/20/2025,Susan,Anderson,Davis,1953-08-20,788-92-1830,B2025GA007703,788-92-1830,03/20/2025,B,,,,,,White,Columbia
2025GA000648,03/21/2025,Linda,Smith,Williams,1985-08-09,132-84-6566,B2025GA007698,132-84-6566,03/21/2025,B,,,,,,Black,Ware
2025GA000721,03/23/2025,Patricia,Johnson,Williams,1998-01-12,549-78-8857,B2025GA007771,549-78-8857,03/23/2025,B,,,,,,Other,Clayton
2025GA000580,04/01/2025,Joseph,Garcia,Garcia,1972-07-01,760-19-6883,,,," ",I50,,uterine rupture,,,White,Fulton
2025GA000713,04/03/2025,Susan,Williams,Williams,1971-10-15,856-10-4283,B2025GA007763,856-10-4283,04/03/2025,B,,,,,,Black,Muscogee
2025GA000754,04/06/2025,Elizabeth,Moore,Johnson,2001-04-23,424-81-8745,B2025GA007804,424-81-8745,04/06/2025,B,,,,,,Black,Richmond
2025GA000658,04/08/2025,Emily,Anderson,Williams,1943-09-14,176-63-8333,B2025GA007708,176-63-8333,04/08/2025,B,,,,,,Black,Muscogee
2025GA000618,04/11/2025,Michael,Garcia,Garcia,1983-12-05,212-67-4482,,,," ",I50,,Cancer,,,Black,Fulton
2025GA000731,04/11/2025,Mary,Thomas,Wilson,1971-08-15,576-76-5512,B2025GA007781,576-76-5512,04/11/2025,B,,,,,,Black,DeKalb
2025GA000699,04/15/2025,Jennifer,Wilson,Williams,1971-02-16,589-95-9113,B2025GA007749,589-95-9113,04/15/2025,B,,,,,,Black,Bartow
2025GA000589,04/15/2025,Daniel,Davis,Davis,1998-07-28,542-95-8778,,,," ",O97,,,Stroke,,Asian,Chatham
2025GA000583,04/17/2025,Michael,Miller,Miller,1977-04-24,701-80-8679,,,," ",O97,,,Accident,,White,Cobb
2025GA000576,04/17/2025,Robert,Williams,Williams,1981-10-16,166-31-9333,,,," ",C34,,HELLP,,,White,Fulton
2025GA000720,04/17/2025,Sarah,Jones,Anderson,1937-06-08,357-68-6043,B2025GA007770,357-68-6043,04/17/2025,B,,,,,,Black,Fulton
2025GA000726,04/19/2025,Emily,Johnson,Taylor,1986-01-01,368-12-1979,B2025GA007776,368-12-1979,04/19/2025,B,,,,,,White,Houston
2025GA000749,04/19/2025,Patricia,Moore,Wilson,1966-10-09,351-61-7970,B2025GA007799,351-61-7970,04/19/2025,B,,,,,,Black,Fulton
2025GA000729,04/20/2025,Susan,Anderson,Williams,1947-07-28,255-92-5719,B2025GA007779,255-92-5719,04/20/2025,B,,,,,,Black,DeKalb
2025GA000752,04/21/2025,Sarah,Johnson,Thomas,1975-11-13,379-70-6101,B2025GA007802,379-70-6101,04/21/2025,B,,,,,,Black,Jackson
2025GA000725,04/22/2025,Jennifer,Williams,Taylor,1946-05-15,482-93-3771,B2025GA007775,482-93-3771,04/22/2025,B,,,,,,Black,Gwinnett
2025GA000627,05/03/2025,Ashley,Wilson,Johnson,1995-09-18,195-43-5278,FGA2025004542,195-43-5278,04/22/2025,F,,,,,,White,Camden
2025GA000709,05/08/2025,Susan,Davis,Miller,2003-08-17,216-96-3453,B2025GA007759,216-96-3453,05/08/2025,B,,,,,,Black,Bibb
2025GA000706,05/09/2025,Linda,Williams,Thomas,1946-02-05,327-19-3447,B2025GA007756,327-19-3447,05/09/2025,B,,,,,,White,Gwinnett
2025GA000662,05/09/2025,Patricia,Davis,Williams,2000-08-25,231-24-9836,B2025GA007712,231-24-9836,05/09/2025,B,,,,,,White,Fulton
2025GA000664,05/10/2025,Amanda,Smith,Davis,1994-06-18,354-70-4792,B2025GA007714,354-70-4792,05/10/2025,B,,,,,,Black,Cobb
2025GA000718,05/10/2025,Ashley,Williams,Williams,1949-07-23,368-24-1887,B2025GA007768,368-24-1887,05/10/2025,B,,,,,,White,Douglas
2025GA000686,05/10/2025,Susan,Brown,Thomas,1934-09-20,622-72-5323,B2025GA007736,622-72-5323,05/10/2025,B,,,,,,Black,Liberty
2025GA000678,05/20/2025,Olivia,Wilson,Moore,1976-03-28,606-47-9610,B2025GA007728,606-47-9610,05/20/2025,B,,,,,,Black,Cobb
2025GA000764,05/30/2025,Olivia,Anderson,Thomas,2003-05-17,163-12-9364,B2025GA007814,163-12-9364,05/30/2025,B,,,,,,White,Habersham
2025GA000643,05/31/2025,Ashley,Jones,Wilson,1986-03-15,204-36-6491,B2025GA007693,204-36-6491,05/31/2025,B,,,,,,White,Fulton
2025GA000642,06/01/2025,Olivia,Brown,Williams,1962-06-05,375-39-4160,B2025GA007692,375-39-4160,06/01/2025,B,,,,,,White,Fulton
2025GA000758,06/01/2025,Olivia,Moore,Thomas,1961-10-25,129-38-6838,B2025GA007808,129-38-6838,06/01/2025,B,,,,,,Black,Cobb
2025GA000700,06/04/2025,Jessica,Johnson,Williams,1967-04-22,332-51-8107,B2025GA007750,332-51-8107,06/04/2025,B,,,,,,White,Fulton
2025GA000578,06/05/2025,David,Davis,Davis,1976-07-07,260-57-5170,,,," ",C34,,peripartum,,,Other,Barrow
2025GA000612,06/06/2025,Daniel,Miller,Miller,1959-07-16,139-25-7304,,,," ",I21,,Heart disease,,,Asian,Cobb
2025GA000654,06/14/2025,Linda,Brown,Jones,1956-05-11,418-71-2974,B2025GA007704,418-71-2974,06/14/2025,B,,,,,,White,Henry
2025GA000740,06/14/2025,Ashley,Davis,Miller,1931-11-26,638-98-8085,B2025GA007790,638-98-8085,06/14/2025,B,,,,,,Other,Gwinnett
2025GA000683,06/15/2025,Sarah,Davis,Thomas,1935-07-17,517-75-4174,B2025GA007733,517-75-4174,06/15/2025,B,,,,,,Black,Cherokee
2025GA000704,06/21/2025,Amanda,Davis,Smith,1968-06-13,489-56-9640,B2025GA007754,489-56-9640,06/21/2025,B,,,,,,Black,DeKalb
2025GA000637,06/25/2025,Susan,Johnson,Garcia,2001-05-17,999-99-9999,FGA2025004552,999-99-9999,02/06/2025,F,,,,,,Black,Paulding
2025GA000732,06/27/2025,Patricia,Anderson,Wilson,1948-12-01,451-24-2994,B2025GA007782,451-24-2994,06/27/2025,B,,,,,,Black,Hall
2025GA000691,06/28/2025,Jennifer,Jones,Brown,1995-07-02,516-43-1190,B2025GA007741,516-43-1190,06/28/2025,B,,,,,,Asian,Pickens
2025GA000669,07/04/2025,Jessica,Smith,Johnson,1959-11-11,735-89-3880,B2025GA007719,735-89-3880,07/04/2025,B,,,,,,Black,Cobb
2025GA000765,07/09/2025,Linda,Taylor,Thomas,1929-07-25,283-87-6443,B2025GA007815,283-87-6443,07/09/2025,B,,,,,,Black,Gwinnett
2025GA000751,07/15/2025,Elizabeth,Davis,Jones,1961-02-17,805-83-1470,B2025GA007801,805-83-1470,07/15/2025,B,,,,,,Black,Richmond
2025GA000586,07/19/2025,William,Taylor,Taylor,1956-07-07,292-70-2779,,,," ",O97,,,Stroke,,Black,DeKalb
2025GA000701,07/24/2025,Elizabeth,Taylor,Johnson,1987-08-15,176-47-4287,B2025GA007751,176-47-4287,07/24/2025,B,,,,,,Asian,Chatham
2025GA000694,07/25/2025,Elizabeth,Taylor,Smith,1949-04-01,179-40-8031,B2025GA007744,179-40-8031,07/25/2025,B,,,,,,White,DeKalb
2025GA000756,07/26/2025,Olivia,Williams,Miller,1931-10-19,804-67-9405,B2025GA007806,804-67-9405,07/26/2025,B,,,,,,White,Forsyth
2025GA000640,07/27/2025,Linda,Brown,Miller,2004-10-18,999-99-9999,FGA2025004555,999-99-9999,04/11/2025,F,,,,,,Asian,Carroll
2025GA000672,07/29/2025,Amanda,Smith,Brown,1938-02-01,808-72-5567,B2025GA007722,808-72-5567,07/29/2025,B,,,,,,White,Newton
2025GA000735,08/04/2025,Patricia,Thomas,Brown,1964-08-15,313-55-4217,B2025GA007785,313-55-4217,08/04/2025,B,,,,,,Black,Thomas
2025GA000722,08/07/2025,Susan,Johnson,Moore,1982-08-22,838-25-8904,B2025GA007772,838-25-8904,08/07/2025,B,,,,,,White,Rockdale
2025GA000733,08/11/2025,Jessica,Johnson,Thomas,2003-12-23,233-53-8163,B2025GA007783,233-53-8163,08/11/2025,B,,,,,,White,DeKalb
2025GA000684,08/13/2025,Susan,Williams,Johnson,1990-07-05,806-26-5470,B2025GA007734,806-26-5470,08/13/2025,B,,,,,,White,Barrow
2025GA000668,08/13/2025,Olivia,Davis,Davis,1975-04-28,243-84-5597,B2025GA007718,243-84-5597,08/13/2025,B,,,,,,Black,Gwinnett
2025GA000685,08/14/2025,Jessica,Wilson,Thomas,1972-03-23,810-53-7911,B2025GA007735,810-53-7911,08/14/2025,B,,,,,,Black,Glynn
2025GA000590,08/16/2025,Joseph,Jones,Jones,1981-01-05,926-41-9615,,,," ",O95,,,Cancer,,Black,Cobb
2025GA000584,08/18/2025,David,Miller,Miller,1953-04-15,242-83-3102,,,," ",O95,,,Cancer,,Black,Carroll
2025GA000724,08/18/2025,Elizabeth,Jones,Miller,1993-04-19,702-82-4609,B2025GA007774,702-82-4609,08/18/2025,B,,,,,,White,Fulton
2025GA000671,08/20/2025,Patricia,Jones,Brown,1982-03-07,765-86-4465,B2025GA007721,765-86-4465,08/20/2025,B,,,,,,White,Gwinnett
2025GA000591,08/21/2025,James,Thomas,Thomas,1995-05-21,500-88-3869,,,," ",O96,,,Cancer,,Black,Columbia
2025GA000736,08/22/2025,Jennifer,Wilson,Smith,1943-11-04,161-41-1744,B2025GA007786,161-41-1744,08/22/2025,B,,,,,,Black,Tift
2025GA000755,08/25/2025,Mary,Moore,Davis,1929-10-05,319-76-3066,B2025GA007805,319-76-3066,08/25/2025,B,,,,,,Asian,DeKalb
2025GA000611,08/28/2025,Joseph,Johnson,Johnson,1964-03-23,104-11-9203,,,," ",I50,,Stroke,,,White,DeKalb
2025GA000744,08/29/2025,Patricia,Moore,Brown,1985-01-20,186-15-5036,B2025GA007794,186-15-5036,08/29/2025,B,,,,,,White,Barrow
2025GA000621,08/30/2025,James,Miller,Miller,1940-05-16,444-57-6620,,,," ",J44,,Cancer,,,Black,Gordon
2025GA000651,08/30/2025,Olivia,Thomas,Williams,1942-06-13,444-39-4351,B2025GA007701,444-39-4351,08/30/2025,B,,,,,,Other,Fulton
2025GA000645,09/01/2025,Emily,Smith,Thomas,1974-03-28,233-16-3051,B2025GA007695,233-16-3051,09/01/2025,B,,,,,,Black,DeKalb
2025GA000690,09/01/2025,Olivia,Wilson,Jones,1966-06-11,297-18-6760,B2025GA007740,297-18-6760,09/01/2025,B,,,,,,Black,Gwinnett
2025GA000660,09/05/2025,Patricia,Brown,Miller,1998-07-26,114-66-6305,B2025GA007710,114-66-6305,09/05/2025,B,,,,,,Black,Whitfield
2025GA000698,09/06/2025,Olivia,Brown,Anderson,1975-05-20,510-22-9570,B2025GA007748,510-22-9570,09/06/2025,B,,,,,,White,Paulding
2025GA000613,09/07/2025,Robert,Thomas,Thomas,1962-09-23,766-59-7947,,,," ",E11,,Accident,,,Black,Fulton
2025GA000750,09/13/2025,Patricia,Taylor,Brown,1954-09-19,500-22-5416,B2025GA007800,500-22-5416,09/13/2025,B,,,,,,Asian,Rockdale
2025GA000716,09/14/2025,Linda,Jones,Williams,1988-09-27,698-36-9494,B2025GA007766,698-36-9494,09/14/2025,B,,,,,,Black,Gwinnett
2025GA000677,09/14/2025,Linda,Smith,Moore,1941-05-09,290-30-6322,B2025GA007727,290-30-6322,09/14/2025,B,,,,,,Black,Forsyth
2025GA000737,09/15/2025,Ashley,Anderson,Davis,1977-05-26,103-10-6404,B2025GA007787,103-10-6404,09/15/2025,B,,,,,,Black,DeKalb
2025GA000681,09/19/2025,Jennifer,Thomas,Jones,1985-07-21,407-31-8832,B2025GA007731,407-31-8832,09/19/2025,B,,,,,,Other,Toombs
2025GA000682,09/20/2025,Sarah,Smith,Moore,1982-09-08,785-74-5983,B2025GA007732,785-74-5983,09/20/2025,B,,,,,,Other,Fulton
2025GA000703,09/23/2025,Olivia,Wilson,Smith,1930-08-23,515-65-5982,B2025GA007753,515-65-5982,09/23/2025,B,,,,,,Black,Gwinnett
2025GA000577,09/26/2025,Joseph,Williams,Williams,1985-12-12,585-44-7569,,,," ",E11,,postpartum,,,Other,Clayton
2025GA000693,09/27/2025,Olivia,Smith,Miller,1936-02-14,321-97-3341,B2025GA007743,321-97-3341,09/27/2025,B,,,,,,Black,Camden
2025GA000676,09/28/2025,Jessica,Davis,Anderson,1971-09-20,160-30-7368,B2025GA007726,160-30-7368,09/28/2025,B,,,,,,Black,Toombs
2025GA000673,10/02/2025,Olivia,Miller,Johnson,1971-08-23,476-15-4039,B2025GA007723,476-15-4039,10/02/2025,B,,,,,,White,Hall
2025GA000710,10/03/2025,Elizabeth,Davis,Brown,1964-03-03,781-32-7222,B2025GA007760,781-32-7222,10/03/2025,B,,,,,,Other,Gwinnett
2025GA000687,10/04/2025,Linda,Thomas,Johnson,2006-03-13,888-58-7796,B2025GA007737,888-58-7796,10/04/2025,B,,,,,,Black,Fulton
2025GA000582,10/05/2025,Robert,Brown,Brown,1989-12-24,388-54-7616,,,," ",O96,,,Heart disease,,Black,Liberty
2025GA000670,10/07/2025,Sarah,Brown,Thomas,1960-11-05,625-70-8762,B2025GA007720,625-70-8762,10/07/2025,B,,,,,,Black,Cobb
2025GA000695,10/07/2025,Amanda,Johnson,Wilson,1985-03-20,176-66-9174,B2025GA007745,176-66-9174,10/07/2025,B,,,,,,White,Thomas
2025GA000674,10/08/2025,Patricia,Taylor,Brown,1949-11-07,268-62-1205,B2025GA007724,268-62-1205,10/08/2025,B,,,,,,Black,DeKalb
2025GA000628,10/08/2025,Jennifer,Williams,Smith,1998-08-28,958-36-3289,FGA2025004543,958-36-3289,08/08/2025,F,,,,,,Other,Gwinnett
2025GA000625,10/13/2025,Sarah,Miller,Anderson,2003-12-24,936-27-1865,FGA2025004540,936-27-1865,05/10/2025,F,,,,,,White,Henry
2025GA000650,10/14/2025,Sarah,Taylor,Brown,1950-07-26,797-42-1292,B2025GA007700,797-42-1292,10/14/2025,B,,,,,,White,Fulton
2025GA000661,10/15/2025,Linda,Brown,Miller,1942-11-01,658-31-4586,B2025GA007711,658-31-4586,10/15/2025,B,,,,,,Black,Bibb
2025GA000666,10/17/2025,Linda,Wilson,Jones,1982-11-20,218-38-9010,B2025GA007716,218-38-9010,10/17/2025,B,,,,,,White,DeKalb
2025GA000656,10/20/2025,Emily,Anderson,Jones,1971-11-26,549-85-7407,B2025GA007706,549-85-7407,10/20/2025,B,,,,,,Other,Clayton
2025GA000649,10/23/2025,Susan,Taylor,Thomas,1979-06-02,744-22-8019,B2025GA007699,744-22-8019,10/23/2025,B,,,,,,Black,Cobb
2025GA000760,10/23/2025,Linda,Wilson,Davis,1984-06-09,746-78-2401,B2025GA007810,746-78-2401,10/23/2025,B,,,,,,White,Lee
2025GA000727,10/25/2025,Patricia,Williams,Smith,1952-08-15,895-35-9167,B2025GA007777,895-35-9167,10/25/2025,B,,,,,,Black,Clayton
2025GA000616,10/27/2025,Robert,Wilson,Wilson,1938-11-13,870-21-2790,,,," ",E11,,Stroke,,,Black,Richmond
2025GA000762,10/29/2025,Emily,Wilson,Anderson,2000-04-26,163-69-4032,B2025GA007812,163-69-4032,10/29/2025,B,,,,,,White,Cherokee
2025GA000657,11/06/2025,Ashley,Moore,Thomas,1951-11-17,232-70-4461,B2025GA007707,232-70-4461,11/06/2025,B,,,,,,Black,Richmond
2025GA000680,11/07/2025,Emily,Davis,Moore,1936-02-18,633-56-9763,B2025GA007730,633-56-9763,11/07/2025,B,,,,,,Asian,Bibb
2025GA000728,11/08/2025,Jessica,Smith,Anderson,1985-03-14,435-19-7737,B2025GA007778,435-19-7737,11/08/2025,B,,,,,,White,Cobb
2025GA000730,11/09/2025,Ashley,Brown,Davis,1936-03-11,665-83-2356,B2025GA007780,665-83-2356,11/09/2025,B,,,,,,Black,Gordon
2025GA000679,11/09/2025,Susan,Thomas,Taylor,2003-02-23,756-33-5534,B2025GA007729,756-33-5534,11/09/2025,B,,,,,,White,Walton
2025GA000665,11/09/2025,Jessica,Williams,Wilson,1997-08-10,301-53-2411,B2025GA007715,301-53-2411,11/09/2025,B,,,,,,Black,Hall
2025GA000667,11/14/2025,Mary,Anderson,Williams,2004-01-07,348-31-3222,B2025GA007717,348-31-3222,11/14/2025,B,,,,,,Other,Lowndes
2025GA000574,11/15/2025,William,Anderson,Anderson,1985-09-26,221-28-3142,,,," ",E11,,amniotic,,,Black,DeKalb
2025GA000619,11/16/2025,Michael,Brown,Brown,1973-07-15,181-47-2404,,,," ",I21,,Stroke,,,Black,Cobb
2025GA000705,11/16/2025,Amanda,Wilson,Jones,1988-05-21,235-32-1686,B2025GA007755,235-32-1686,11/16/2025,B,,,,,,Black,Gwinnett
2025GA000688,11/17/2025,Sarah,Johnson,Brown,1993-08-22,566-49-4747,B2025GA007738,566-49-4747,11/17/2025,B,,,,,,White,Cobb
2025GA000614,11/26/2025,William,Anderson,Anderson,2003-12-22,566-97-3414,,,," ",C50,,Cancer,,,Black,Coweta
2025GA000707,11/27/2025,Linda,Jones,Johnson,1967-06-12,300-33-3013,B2025GA007757,300-33-3013,11/27/2025,B,,,,,,Black,Cobb
2025GA000761,11/28/2025,Jennifer,Miller,Taylor,1960-05-01,549-12-9574,B2025GA007811,549-12-9574,11/28/2025,B,,,,,,Black,Fulton
2025GA000763,12/01/2025,Susan,Moore,Moore,1948-11-27,571-60-5108,B2025GA007813,571-60-5108,12/01/2025,B,,,,,,Black,Walton
2025GA000759,12/04/2025,Jessica,Wilson,Johnson,1954-05-20,553-44-6301,B2025GA007809,553-44-6301,12/04/2025,B,,,,,,White,Forsyth
2025GA000757,12/09/2025,Emily,Johnson,Moore,1955-04-01,214-73-6108,B2025GA007807,214-73-6108,12/09/2025,B,,,,,,Black,Gwinnett
2025GA000620,12/10/2025,William,Smith,Smith,1976-08-16,372-10-1685,,,," ",I21,,Cancer,,,White,Cherokee
2025GA000741,12/14/2025,Olivia,Williams,Anderson,1939-04-03,674-52-1784,B2025GA007791,674-52-1784,12/14/2025,B,,,,,,Black,Fulton
2025GA000585,12/17/2025,William,Garcia,Garcia,1978-07-14,406-51-1380,,,," ",O96,,,Cancer,,White,Effingham
2025GA000587,12/18/2025,Michael,Johnson,Johnson,1936-03-02,291-35-2138,,,," ",O95,,,Cancer,,White,Cobb
2025GA000739,12/21/2025,Patricia,Moore,Thomas,1989-09-09,767-19-2579,B2025GA007789,767-19-2579,12/21/2025,B,,,,,,Asian,Lowndes
2025GA000719,12/21/2025,Ashley,Miller,Thomas,1955-03-16,180-68-1187,B2025GA007769,180-68-1187,12/21/2025,B,,,,,,Asian,Fulton
2025GA000714,12/22/2025,Amanda,Miller,Taylor,1998-08-26,338-20-9034,B2025GA007764,338-20-9034,12/22/2025,B,,,,,,Black,Gwinnett
2025GA000702,12/23/2025,Jessica,Davis,Brown,1952-12-07,433-10-7616,B2025GA007752,433-10-7616,12/23/2025,B,,,,,,Other,Richmond
2025GA000745,12/23/2025,Emily,Wilson,Wilson,1955-08-28,226-10-6193,B2025GA007795,226-10-6193,12/23/2025,B,,,,,,Black,Clayton
2025GA000592,12/23/2025,Daniel,Davis,Davis,1957-11-06,815-15-4927,,,," ",O95,,,Stroke,,Black,Fulton
2025GA000629,12/23/2025,Patricia,Wilson,Williams,2004-08-03,532-91-9957,FGA2025004544,532-91-9957,08/04/2025,F,,,,,,White,Walton
2025GA000675,12/25/2025,Jessica,Smith,Miller,1984-11-11,628-71-9123,B2025GA007725,628-71-9123,12/25/2025,B,,,,,,Black,Clayton
2025GA000712,12/26/2025,Amanda,Anderson,Jones,1953-11-17,390-50-5605,B2025GA007762,390-50-5605,12/26/2025,B,,,,,,Other,DeKalb
2025GA000644,12/30/2025,Elizabeth,Taylor,Thomas,1992-09-16,101-35-9497,B2025GA007694,101-35-9497,12/30/2025,B,,,,,,Other,Rockdale
2025GA000615,12/30/2025,Michael,Smith,Smith,1992-02-21,182-76-4093,,,," ",C34,,Cancer,,,Other,Liberty
